Precursor m/z,Fragment m/z,Fragment Intensity
"Precursor(Weight=535.772527, Charge=2)",55.053741455078125,222.4361
"Precursor(Weight=535.772527, Charge=2)",56.04926300048828,212.25641
"Precursor(Weight=535.772527, Charge=2)",65.53993225097656,18.125
"Precursor(Weight=535.772527, Charge=2)",70.06548309326172,631.62384
"Precursor(Weight=535.772527, Charge=2)",70.1124267578125,14.00463
"Precursor(Weight=535.772527, Charge=2)",72.08059692382812,271.2464
"Precursor(Weight=535.772527, Charge=2)",74.06049346923828,192.47556
"Precursor(Weight=535.772527, Charge=2)",76.83142852783203,35.00205
"Precursor(Weight=535.772527, Charge=2)",84.04374694824219,1225.4382
"Precursor(Weight=535.772527, Charge=2)",84.0806655883789,295.7096
"Precursor(Weight=535.772527, Charge=2)",86.06600952148438,33.002777
"Precursor(Weight=535.772527, Charge=2)",86.09642028808594,6712.8066
"Precursor(Weight=535.772527, Charge=2)",86.12157440185547,54.29762
"Precursor(Weight=535.772527, Charge=2)",86.3664321899414,20.322369
"Precursor(Weight=535.772527, Charge=2)",86.40826416015625,38.223213
"Precursor(Weight=535.772527, Charge=2)",86.47360229492188,12.666667
"Precursor(Weight=535.772527, Charge=2)",86.54449462890625,24.446428
"Precursor(Weight=535.772527, Charge=2)",86.9151840209961,30.53125
"Precursor(Weight=535.772527, Charge=2)",87.09237670898438,64.89189
"Precursor(Weight=535.772527, Charge=2)",87.10110473632812,267.68015
"Precursor(Weight=535.772527, Charge=2)",88.03857421875,101.0
"Precursor(Weight=535.772527, Charge=2)",101.07074737548828,1142.3235
"Precursor(Weight=535.772527, Charge=2)",101.39649963378906,37.06579
"Precursor(Weight=535.772527, Charge=2)",102.05448913574219,4010.8403
"Precursor(Weight=535.772527, Charge=2)",102.12305450439453,18.720238
"Precursor(Weight=535.772527, Charge=2)",102.21047973632812,17.720238
"Precursor(Weight=535.772527, Charge=2)",103.06041717529297,91.64006
"Precursor(Weight=535.772527, Charge=2)",120.08080291748047,214.98651
"Precursor(Weight=535.772527, Charge=2)",120.13091278076172,14.00463
"Precursor(Weight=535.772527, Charge=2)",123.16432189941406,42.35805
"Precursor(Weight=535.772527, Charge=2)",127.79888916015625,12.086538
"Precursor(Weight=535.772527, Charge=2)",129.1007537841797,282.75848
"Precursor(Weight=535.772527, Charge=2)",130.02963256835938,33.041668
"Precursor(Weight=535.772527, Charge=2)",130.04861450195312,143.17659
"Precursor(Weight=535.772527, Charge=2)",132.10121154785156,2225.2344
"Precursor(Weight=535.772527, Charge=2)",132.16725158691406,25.291666
"Precursor(Weight=535.772527, Charge=2)",132.17550659179688,37.0
"Precursor(Weight=535.772527, Charge=2)",132.66409301757812,52.38782
"Precursor(Weight=535.772527, Charge=2)",133.10740661621094,85.00278
"Precursor(Weight=535.772527, Charge=2)",133.27439880371094,71.96062
"Precursor(Weight=535.772527, Charge=2)",134.96804809570312,20.164474
"Precursor(Weight=535.772527, Charge=2)",136.1555938720703,135.33415
"Precursor(Weight=535.772527, Charge=2)",144.06385803222656,226.1
"Precursor(Weight=535.772527, Charge=2)",148.060302734375,83.021225
"Precursor(Weight=535.772527, Charge=2)",159.07647705078125,198.009
"Precursor(Weight=535.772527, Charge=2)",171.111083984375,62.045288
"Precursor(Weight=535.772527, Charge=2)",172.0727081298828,46.225
"Precursor(Weight=535.772527, Charge=2)",177.0608367919922,57.666668
"Precursor(Weight=535.772527, Charge=2)",182.0425567626953,48.011364
"Precursor(Weight=535.772527, Charge=2)",184.06735229492188,74.656815
"Precursor(Weight=535.772527, Charge=2)",184.0965118408203,137.11539
"Precursor(Weight=535.772527, Charge=2)",184.19061279296875,12.027778
"Precursor(Weight=535.772527, Charge=2)",185.08877563476562,109.01394
"Precursor(Weight=535.772527, Charge=2)",189.0804901123047,101.929245
"Precursor(Weight=535.772527, Charge=2)",192.0791015625,112.01923
"Precursor(Weight=535.772527, Charge=2)",195.10720825195312,25.680555
"Precursor(Weight=535.772527, Charge=2)",197.12921142578125,241.08328
"Precursor(Weight=535.772527, Charge=2)",197.22804260253906,35.025
"Precursor(Weight=535.772527, Charge=2)",201.1277313232422,97.38
"Precursor(Weight=535.772527, Charge=2)",211.11070251464844,198.84251
"Precursor(Weight=535.772527, Charge=2)",212.20257568359375,20.01389
"Precursor(Weight=535.772527, Charge=2)",213.0808868408203,82.29082
"Precursor(Weight=535.772527, Charge=2)",215.13079833984375,160.8091
"Precursor(Weight=535.772527, Charge=2)",215.13943481445312,96.817566
"Precursor(Weight=535.772527, Charge=2)",223.10494995117188,186.66667
"Precursor(Weight=535.772527, Charge=2)",225.12210083007812,286.73325
"Precursor(Weight=535.772527, Charge=2)",226.1183624267578,581.1842
"Precursor(Weight=535.772527, Charge=2)",226.34414672851562,24.285715
"Precursor(Weight=535.772527, Charge=2)",235.1075439453125,341.5702
"Precursor(Weight=535.772527, Charge=2)",238.1548309326172,10.027778
"Precursor(Weight=535.772527, Charge=2)",243.13357543945312,3202.4285
"Precursor(Weight=535.772527, Charge=2)",243.17730712890625,18.675
"Precursor(Weight=535.772527, Charge=2)",243.19264221191406,21.058823
"Precursor(Weight=535.772527, Charge=2)",244.13677978515625,256.97723
"Precursor(Weight=535.772527, Charge=2)",245.07240295410156,29.5
"Precursor(Weight=535.772527, Charge=2)",245.35768127441406,38.679054
"Precursor(Weight=535.772527, Charge=2)",247.14390563964844,24.889706
"Precursor(Weight=535.772527, Charge=2)",247.19882202148438,10.225
"Precursor(Weight=535.772527, Charge=2)",258.1109313964844,129.40652
"Precursor(Weight=535.772527, Charge=2)",259.1125793457031,190.04892
"Precursor(Weight=535.772527, Charge=2)",259.4632568359375,79.265495
"Precursor(Weight=535.772527, Charge=2)",261.0558166503906,53.001667
"Precursor(Weight=535.772527, Charge=2)",261.1429443359375,308.77582
"Precursor(Weight=535.772527, Charge=2)",274.1373291015625,28.336111
"Precursor(Weight=535.772527, Charge=2)",279.12841796875,215.23364
"Precursor(Weight=535.772527, Charge=2)",281.1248474121094,108.204544
"Precursor(Weight=535.772527, Charge=2)",284.1016845703125,89.90028
"Precursor(Weight=535.772527, Charge=2)",285.1217041015625,101.74074
"Precursor(Weight=535.772527, Charge=2)",288.0924377441406,35.129032
"Precursor(Weight=535.772527, Charge=2)",288.4584655761719,49.006943
"Precursor(Weight=535.772527, Charge=2)",291.8135986328125,52.29762
"Precursor(Weight=535.772527, Charge=2)",298.5974426269531,19.560184
"Precursor(Weight=535.772527, Charge=2)",304.89666748046875,23.160715
"Precursor(Weight=535.772527, Charge=2)",305.13458251953125,152.46945
"Precursor(Weight=535.772527, Charge=2)",308.15618896484375,164.56903
"Precursor(Weight=535.772527, Charge=2)",309.1572265625,30.52016
"Precursor(Weight=535.772527, Charge=2)",312.1582946777344,91.916534
"Precursor(Weight=535.772527, Charge=2)",316.7967224121094,12.892858
"Precursor(Weight=535.772527, Charge=2)",319.1203918457031,122.03034
"Precursor(Weight=535.772527, Charge=2)",323.1356506347656,61.160088
"Precursor(Weight=535.772527, Charge=2)",325.1800231933594,191.805
"Precursor(Weight=535.772527, Charge=2)",325.1891784667969,195.57657
"Precursor(Weight=535.772527, Charge=2)",327.1648254394531,167.01086
"Precursor(Weight=535.772527, Charge=2)",331.1260681152344,47.675674
"Precursor(Weight=535.772527, Charge=2)",334.1321716308594,189.23251
"Precursor(Weight=535.772527, Charge=2)",334.1697082519531,10.008333
